web-scraper-order,web-scraper-start-url,Date,Open,Close
"1620615400-22697","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2020","279.16","273.16"
"1620615400-22712","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2019","184.00","178.08"
"1620615400-22727","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2018","193.07","194.32"
"1620615400-22784","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2013","41.84","50.23"
"1620615400-22704","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2020","201.60","225.09"
"1620615400-22708","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2020","206.75","201.91"
"1620615400-22782","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2013","50.85","47.01"
"1620615400-22796","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2012","18.08","21.66"
"1620615400-22691","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 07, 2021","322.38","319.08"
"1620615400-22693","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2021","298.40","325.08"
"1620615400-22726","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2018","193.37","172.58"
"1620615400-22763","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2015","79.30","85.77"
"1620615400-22766","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2015","79.00","82.22"
"1620615400-22700","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2020","294.71","261.90"
"1620615400-22787","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2013","24.27","24.88"
"1620615400-22780","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2014","54.83","62.57"
"1620615400-22716","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2019","194.78","177.47"
"1620615400-22781","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2013","46.90","54.65"
"1620615400-22798","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2012","31.25","21.71"
"1620615400-22717","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2019","167.83","193.40"
"1620615400-22698","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2020","264.60","276.97"
"1620615400-22710","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2019","192.85","201.64"
"1620615400-22747","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2016","128.38","130.99"
"1620615400-22749","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2016","123.85","126.12"
"1620615400-22751","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2016","118.50","114.28"
"1620615400-22692","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2021","326.17","319.08"
"1620615400-22735","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2017","171.39","180.06"
"1620615400-22791","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2013","31.01","27.25"
"1620615400-22762","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2015","86.77","94.01"
"1620615400-22773","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2014","72.22","74.82"
"1620615400-22797","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2012","21.50","18.06"
"1620615400-22715","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2019","175.00","193.00"
"1620615400-22701","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2020","252.65","293.20"
"1620615400-22707","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2020","203.44","192.47"
"1620615400-22776","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2014","60.43","63.30"
"1620615400-22709","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2019","202.13","205.25"
"1620615400-22768","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2015","78.58","75.91"
"1620615400-22792","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2013","27.44","30.98"
"1620615400-22746","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2016","131.41","118.42"
"1620615400-22699","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2020","265.35","263.11"
"1620615400-22723","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2018","163.03","151.79"
"1620615400-22754","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2016","107.83","114.10"
"1620615400-22702","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2020","228.50","253.67"
"1620615400-22706","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2020","194.03","166.80"
"1620615400-22745","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2016","118.38","115.05"
"1620615400-22788","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2013","27.85","24.35"
"1620615400-22767","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2015","76.11","78.97"
"1620615400-22785","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2013","37.30","41.29"
"1620615400-22724","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2018","173.50","164.46"
"1620615400-22714","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2019","195.21","194.23"
"1620615400-22737","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2017","169.82","171.97"
"1620615400-22793","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2012","28.00","26.62"
"1620615400-22732","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2018","177.68","186.89"
"1620615400-22752","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2016","117.83","118.81"
"1620615400-22750","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2016","114.20","123.94"
"1620615400-22728","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2018","172.00","191.78"
"1620615400-22713","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2019","194.17","185.67"
"1620615400-22799","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2012","28.89","31.10"
"1620615400-22757","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2015","104.83","104.66"
"1620615400-22719","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2019","165.84","161.45"
"1620615400-22759","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2015","90.05","101.97"
"1620615400-22739","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2017","151.75","150.98"
"1620615400-22696","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2021","274.78","258.33"
"1620615400-22789","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2013","25.63","27.77"
"1620615400-22772","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2014","75.01","79.04"
"1620615400-22753","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2016","113.75","117.58"
"1620615400-22764","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2015","79.24","79.19"
"1620615400-22770","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2014","75.47","77.70"
"1620615400-22756","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2016","101.95","112.21"
"1620615400-22731","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2018","188.22","178.32"
"1620615400-22695","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2021","259.52","257.62"
"1620615400-22760","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2015","86.85","89.90"
"1620615400-22769","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2014","77.26","78.02"
"1620615400-22771","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2014","78.78","74.99"
"1620615400-22729","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2018","157.81","172.00"
"1620615400-22786","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2013","24.97","36.80"
"1620615400-22783","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2013","49.97","50.21"
"1620615400-22778","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2014","66.96","60.24"
"1620615400-22758","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2015","101.72","104.24"
"1620615400-22774","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2014","67.58","72.65"
"1620615400-22722","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2018","151.52","140.61"
"1620615400-22761","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2015","93.53","89.43"
"1620615400-22705","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2020","161.62","204.71"
"1620615400-22741","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2017","141.93","150.25"
"1620615400-22703","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2020","224.59","227.07"
"1620615400-22765","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2015","82.50","78.77"
"1620615400-22733","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2017","176.03","176.46"
"1620615400-22711","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2019","179.15","191.65"
"1620615400-22742","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2017","136.47","142.05"
"1620615400-22748","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2016","126.38","128.27"
"1620615400-22694","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2021","260.82","294.53"
"1620615400-22755","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2016","112.27","106.92"
"1620615400-22718","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2019","162.60","166.69"
"1620615400-22725","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2018","173.93","175.73"
"1620615400-22730","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2018","179.01","159.79"
"1620615400-22740","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2017","151.74","151.46"
"1620615400-22794","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2012","21.08","28.00"
"1620615400-22720","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2019","128.99","166.69"
"1620615400-22775","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2014","63.23","67.29"
"1620615400-22777","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2014","60.46","59.78"
"1620615400-22790","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2013","27.05","25.58"
"1620615400-22743","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2017","132.25","135.54"
"1620615400-22721","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2018","143.00","131.09"
"1620615400-22779","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2014","63.03","68.46"
"1620615400-22738","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2017","151.72","169.25"
"1620615400-22744","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2017","116.03","130.32"
"1620615400-22734","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2017","182.36","177.18"
"1620615400-22795","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2012","22.08","21.11"
"1620615400-22736","https://finance.yahoo.com/quote/FB/history?period1=1337299200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2017","172.40","170.87"
